id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,region,canal,costo_unitario
1,2025-10-01 00:00:00.000000000,126,4,9,70.49,Centro,Online,44.35
2,2025-10-01 02:10:23.111555777,118,7,47,110.93,Sur,Online,83.5
3,01/10/2025,48,22,1,10.46,Norte,Online,5.87
4,2025-10-01 06:31:09.334667333,89,33,44,29.24,Oriente,Online,20.66
5,2025-10-01 08:41:32.446223111,237,17,35,488.87,NA,Tienda,363.4
6,01/10/2025,272,24,11,128.75,Oriente,Online,79.87
7,2025-10-01 13:02:18.669334667,189,34,34,335.02,Norte,Distribuidor,248.87
8,2025-10-01 15:12:41.780890445,192,28,16,421.16,Centro,Tienda,340.92
9,01/10/2025,69,39,9,279.82,Sur,Distribuidor,186.15
10,2025-10-01 19:33:28.004002001,278,22,32,85.04,Sur,Online,53.92
11,01/10/2025,247,17,15,366.78,Oriente,Online,215.63
12,01/10/2025,76,34,12,304.12,Norte,Distribuidor,216.37
13,2025-10-02 02:04:37.338669334,154,6,33,368.31,Oriente,Distribuidor,297.58
14,02/10/2025,144,6,45,387.18,Norte,Distribuidor,237.59
15,2025-10-02 06:25:23.561780890,86,34,14,487.95,Sur,Tienda,311.65
16,02/10/2025,185,1,8,291.05,Norte,Online,186.95
17,2025-10-02 10:46:09.784892446,285,10,8,177.4,Sur,Distribuidor,123.52
18,02/10/2025,220,21,27,327.75,Norte,Online,190.08
19,2025-10-02 15:06:56.008004002,69,5,12,43.54,Centro,Distribuidor,34.3
20,02/10/2025,47,2,1,449.72,Norte,Online,271.39
21,02/10/2025,94,22,43,68.5,Centro,Tienda,51.16
22,02/10/2025,238,2,40,170.64,Norte,Online,115.97
23,2025-10-02 23:48:28.454227113,204,10,42,409.72,Norte,Distribuidor,288.88
24,2025-10-03 01:58:51.565782891,218,34,11,302.68,Oriente,Online,170.37
25,2025-10-03 04:09:14.677338669,39,16,39,202.88,Oriente,Tienda,153.63
26,2025-10-03 06:19:37.788894447,100,39,43,241.98,Sur,Tienda,136.96
27,03/10/2025,289,22,31,428.73,Oriente,Online,231.39
28,2025-10-03 10:40:24.012006003,254,12,17,176.6,Norte,Distribuidor,122.09
29,2025-10-03 12:50:47.123561780,222,24,33,436.13,Oriente,Tienda,326.34
30,03/10/2025,23,40,32,53.19,Norte,Tienda,27.53
31,2025-10-03 17:11:33.346673336,250,38,29,390.63,Centro,Online,204.8
32,03/10/2025,10,10,21,425.3,Norte,Tienda,332.13
33,2025-10-03 21:32:19.569784892,246,35,21,99.09,Sur,Tienda,77.6
34,03/10/2025,100,32,40,220.87,Centro,Distribuidor,129.4
35,04/10/2025,290,7,23,91.09,Sur,Distribuidor,65.16
36,04/10/2025,180,21,6,356.24,Sur,Distribuidor,233.38
